preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco;bairro_tratada;bairro_mais_barato;bairro_norm;endereco_norm;latitude;longitude;CEP_opencage;dist_praca_da_liberdade_km;dist_lagoa_da_pampulha_km;dist_parque_americo_renne_km;dist_parque_das_mangabeiras_km;dist_circuito_da_liberdade_km;dist_mercado_central_km;dist_igreja_sao_jose_km
1450000.0;135.0;4;2.0;2;Gutierrez;Rua Cônego Rocha Franco;Gutierrez;0;gutierrez;rua conego rocha franco;-19.9354512;-43.9540924;30441-025;2.1885201171989572;8.801619416997196;2.7146559747191543;5.864126372620269;2.1885201171989572;2.81001240678375;2.7146559747191543
1070000.0;115.0;2;2.0;2;Santo Antônio;Rua Antônio Dias;Santo Antônio;0;santo antonio;rua antonio dias;-19.9445612;-43.9464563;30350-180;1.5836527839461645;9.987610316448867;2.9692340820764067;4.932789707546255;1.5836527839461645;3.107369548009818;2.9692340820764067
280000.0;60.0;3;1.0;1;Estoril;Rua Vereador Nelson Cunha;Estoril;0;estoril;rua vereador nelson cunha;-19.9559297;-43.9679276;30494-225;4.159618041390786;10.829140800700527;5.316523565457369;7.242725392189347;4.159618041390786;5.430932087049622;5.316523565457369
1335000.0;78.0;3;2.0;2;São Pedro;Rua Viçosa;São Pedro;0;sao pedro;rua vicosa;-19.9454938;-43.9389531;30330-012;1.0645882887658955;10.341656580606783;2.7970194674481927;4.143446512702483;1.0645882887658955;2.9486777802208977;2.7970194674481927
530000.0;75.0;3;2.0;2;Castelo;Avenida Miguel Perrela;Castelo;0;castelo;avenida miguel perrela;-19.8793334;-43.9973791;31330-310;9.29956057070967;3.348702870563065;8.129909034693664;12.696133107103105;9.29956057070967;8.043440188173616;8.129909034693664
529000.0;80.0;3;3.0;2;Sagrada Família;Rua Artur Alvim;Sagrada Família;0;sagrada familia;rua artur alvim;-19.9046059;-43.9151923;31035-060;4.105448297604825;8.045155784568248;2.609325220386591;4.965456249095226;4.105448297604825;2.5053814388770563;2.609325220386591
260000.0;68.0;2;2.0;0;Centro;Avenida Olegário Maciel;Centro;0;centro;avenida olegario maciel;-19.9202732;-43.9445364;30180-110;2.2407089972967067;7.539770144874983;1.1778900310484415;5.569374919507596;2.2407089972967067;1.1804153498932846;1.1778900310484415
470000.0;64.0;2;1.0;1;São João Batista;Rua Miguel Augusto da Silva;São João Batista;0;sao joao batista;rua miguel augusto da silva;-19.8250925;-43.9647609;31565-180;12.872614273084748;3.8122918795408776;11.095595183189838;15.122186773071054;12.872614273084748;10.947702939803774;11.095595183189838
575000.0;82.0;3;2.0;2;Paquetá;Rua Nilton Baldo;Paquetá;0;paqueta;rua nilton baldo;-19.8712456;-43.9942466;31340-000;9.722258283452147;2.524801461293125;8.415754823782715;12.99117075712287;9.722258283452147;8.31558009198109;8.415754823782715
525000.0;58.0;2;2.0;2;Buritis;Rua Maria Heilbuth Surette;Buritis;0;buritis;rua maria heilbuth surette;-19.9736697;-43.9734272;30575-740;5.803111250192074;12.772205913588794;7.204237073381628;8.296040482446239;5.803111250192074;7.330717313484038;7.204237073381628
