Preço;Tamanho;Quartos;Banheiros;Vagas;Bairro;Endereço
A partir de R$ 505.000;Tamanho do imóvel54-59 m²;Quantidade de quartos2-3;Quantidade de banheiros1;Quantidade de vagas de garagem1-2;Ventosa;Rua Paulo Piedade Campos
N/D;Tamanho do imóvel158 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Alto Barroca;Rua Contria
R$ 560.000;Tamanho do imóvel97 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Carmo;Rua Passa Tempo
R$ 472.000;Tamanho do imóvel49 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Estoril;Rua Paulo Piedade Campos
R$ 680.000;Tamanho do imóvel70 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem2;Paquetá;Rua Gustavo Ladeira
R$ 490.000;Tamanho do imóvel115 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Jardim América;Rua Lindolfo de Azevedo
R$ 627.760;Tamanho do imóvel75 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Sagrada Família;Rua João Carlos
A partir de R$ 2.010.000;Tamanho do imóvel113-275 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2-4;Vila Paris;Rua Melo de Souza
R$ 440.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem1;Caiçara-Adelaide;Rua Aspásia
R$ 390.000;Tamanho do imóvel85 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Planalto;Rua Barão de Jacuí
N/D;Tamanho do imóvel110 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Serra;Rua Guaxupé
N/D;Tamanho do imóvel111 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Indaiá;Rua Boaventura
R$ 670.000;Tamanho do imóvel120 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Copacabana;Rua Viena
R$ 300.000;Tamanho do imóvel58 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Piratininga (Venda Nova);Rua Altinópolis
R$ 540.000;Tamanho do imóvel56-65 m²;Quantidade de quartos2-3;Quantidade de banheiros2;Quantidade de vagas de garagem1-2;Santa Terezinha;Avenida Heráclito Mourão de Miranda
R$ 420.000;Tamanho do imóvel108 m²;Quantidade de quartos3;Quantidade de banheiros1;Quantidade de vagas de garagem1;Santa Mônica;Rua Olavo Bilac
R$ 450.000;Tamanho do imóvel60 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Planalto;Rua Francisco Augusto Rocha
R$ 1.100.000;Tamanho do imóvel85 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Lourdes;Rua Curitiba
R$ 380.000;Tamanho do imóvel83 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Rio Branco;Rua Dalva de Matos
R$ 590.000;Tamanho do imóvel72 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Castelo;Rua Elisa Felippeto Ricaldoni
R$ 870.000;Tamanho do imóvel125 m²;Quantidade de quartos4;Quantidade de banheiros4;Quantidade de vagas de garagem3;Ouro Preto;Rua Desembargador Paulo Mota
A partir de R$ 347.000;Tamanho do imóvel24-32 m²;Quantidade de quartos1;Quantidade de banheiros1;N/D;Nova Suíssa;Rua Bogari
R$ 567.000;Tamanho do imóvel59 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Palmares;
R$ 302.900;Tamanho do imóvel48 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;São Gabriel;Rua São Brás
R$ 714.800;Tamanho do imóvel61 m²;Quantidade de quartos2;Quantidade de banheiros3;Quantidade de vagas de garagem2;Grajaú;Rua Pilar
R$ 1.090.000;Tamanho do imóvel251 m²;Quantidade de quartos4;Quantidade de banheiros5;Quantidade de vagas de garagem2;Liberdade;Rua Frei Manoel da Cruz
R$ 590.000;Tamanho do imóvel67 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Ipiranga;Rua Doutor Furtado de Menezes
R$ 1.250.000;Tamanho do imóvel117 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Buritis;Rua Geraldo Lúcio Vasconcelos
Valor sob consulta;Tamanho do imóvel32 m²;Quantidade de quartos1-3;Quantidade de banheiros0-2;Quantidade de vagas de garagem1;São Luiz;Rua Maestro Francisco Flores
R$ 2.370.000;Tamanho do imóvel207 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem3;Serra;
R$ 615.000;Tamanho do imóvel57 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem2;Nova Suíssa;Rua André Fernandes
R$ 450.000;Tamanho do imóvel56 m²;Quantidade de quartos2;Quantidade de banheiros2;Quantidade de vagas de garagem1;Penha;Rua Cornélia
N/D;Tamanho do imóvel165 m²;Quantidade de quartos4;Quantidade de banheiros3;Quantidade de vagas de garagem2;Prado;Rua Brumadinho
R$ 240.000;Tamanho do imóvel48 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;Candelária;Rua Farmacêutico Raul Machado
R$ 570.000;Tamanho do imóvel90 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Castelo;
R$ 470.000;Tamanho do imóvel64 m²;Quantidade de quartos2;Quantidade de banheiros1;Quantidade de vagas de garagem1;São João Batista (Venda Nova);Rua Miguel Augusto da Silva
R$ 530.000;Tamanho do imóvel360 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem1;Pindorama;Rua dos Apiacás
A partir de R$ 1.745.918;Tamanho do imóvel89-189 m²;Quantidade de quartos3-4;Quantidade de banheiros4-5;Quantidade de vagas de garagem2-3;Santo Agostinho;Rua Alvarenga Peixoto
R$ 453.000;Tamanho do imóvel68 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Rio Branco;Rua Doutor Niso
R$ 670.000;Tamanho do imóvel81 m²;Quantidade de quartos2;Quantidade de banheiros1-2;Quantidade de vagas de garagem2;Itapoã;Rua Dona Queridinha
R$ 1.550.000;Tamanho do imóvel87 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem3;Gutierrez;Rua Almirante Alexandrino
R$ 560.000;Tamanho do imóvel83 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Ouro Preto;Rua Desembargador Paulo Mota
R$ 750.000;Tamanho do imóvel160 m²;Quantidade de quartos3;Quantidade de banheiros2;Quantidade de vagas de garagem2;Santa Mônica;Rua Olavo Bilac
R$ 490.000;Tamanho do imóvel83 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem2;Paquetá;Rua Maria Cândida de Jesus
R$ 1.397.568;Tamanho do imóvel124 m²;Quantidade de quartos3;Quantidade de banheiros3;Quantidade de vagas de garagem4;Santo Antônio;Rua Renato Falci
R$ 1.750.000;Tamanho do imóvel190 m²;Quantidade de quartos4;Quantidade de banheiros2;Quantidade de vagas de garagem2;Lourdes;Rua Antônio Aleixo
R$ 535.000;Tamanho do imóvel69-70 m²;Quantidade de quartos3;Quantidade de banheiros1-3;Quantidade de vagas de garagem2-3;Manacás;Rua Geraldo Magela de Almeida
