preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro_mais_barato;dist_praca_da_liberdade_km;dist_lagoa_da_pampulha_km;dist_parque_americo_renne_km;dist_parque_das_mangabeiras_km;dist_circuito_da_liberdade_km;dist_mercado_central_km;dist_igreja_sao_jose_km;bairro_aeroporto;bairro_alipio de melo;bairro_alto barroca;bairro_alto caicaras;bairro_alvaro camargos;bairro_anchieta;bairro_araguaia;bairro_bandeirantes;bairro_barreiro;bairro_barro preto;bairro_barroca;bairro_beija flor;bairro_belvedere;bairro_betania;bairro_boa viagem;bairro_boa vista;bairro_bonfim;bairro_bonsucesso;bairro_brasil industrial;bairro_braunas;bairro_buritis;bairro_cachoeirinha;bairro_caicara-adelaide;bairro_caicaras;bairro_calafate;bairro_california;bairro_camargos;bairro_campo alegre;bairro_canaa;bairro_candelaria;bairro_cardoso;bairro_carlos prates;bairro_carmo;bairro_castelo;bairro_centro;bairro_ceu azul;bairro_cidade jardim;bairro_cidade nova;bairro_cinquentenario;bairro_colegio batista;bairro_comiteco;bairro_concordia;bairro_conjunto california;bairro_conjunto celso machado;bairro_conjunto santa maria;bairro_copacabana;bairro_coqueiros;bairro_coracao de jesus;bairro_coracao eucaristico;bairro_cruzeiro;bairro_diamante;bairro_dom cabral;bairro_dom joaquim;bairro_dona clara;bairro_engenho nogueira;bairro_esplanada;bairro_estoril;bairro_estrela do oriente;bairro_etelvina carneiro;bairro_europa;bairro_fernao dias;bairro_floramar;bairro_floresta;bairro_frei leopoldo;bairro_funcionarios;bairro_gloria;bairro_goiania;bairro_graca;bairro_grajau;bairro_guarani;bairro_gutierrez;bairro_havai;bairro_heliopolis;bairro_horto;bairro_horto florestal;bairro_inconfidencia;bairro_indaia;bairro_industrias i;bairro_ipiranga;bairro_itapoa;bairro_jaqueline;bairro_jaragua;bairro_jardim alvorada;bairro_jardim america;bairro_jardim atlantico;bairro_jardim dos comerciarios;bairro_jardim guanabara;bairro_jardim leblon;bairro_jardim montanhes;bairro_jardim vitoria;bairro_joao paulo ii;bairro_joao pinheiro;bairro_juliana;bairro_lagoinha;bairro_lagoinha leblon;bairro_leticia;bairro_liberdade;bairro_lourdes;bairro_luxemburgo;bairro_manacas;bairro_mangueiras;bairro_mantiqueira;bairro_marcola;bairro_maria teresa;bairro_maria virginia;bairro_marilandia;bairro_milionarios;bairro_minas brasil;bairro_minaslandia;bairro_miramar;bairro_monsenhor messias;bairro_nova cachoeirinha;bairro_nova floresta;bairro_nova gameleira;bairro_nova granada;bairro_nova suissa;bairro_nova vista;bairro_novo gloria;bairro_ouro minas;bairro_ouro preto;bairro_padre eustaquio;bairro_palmares;bairro_palmeiras;bairro_pampulha;bairro_paqueta;bairro_paraiso;bairro_parque sao pedro;bairro_penha;bairro_pindorama;bairro_piraja;bairro_piratininga;bairro_planalto;bairro_pompeia;bairro_pongelupe;bairro_prado;bairro_providencia;bairro_renascenca;bairro_rio branco;bairro_sagrada familia;bairro_salgado filho;bairro_santa amelia;bairro_santa branca;bairro_santa cruz;bairro_santa efigenia;bairro_santa ines;bairro_santa lucia;bairro_santa maria;bairro_santa monica;bairro_santa rosa;bairro_santa tereza;bairro_santa terezinha;bairro_santo agostinho;bairro_santo andre;bairro_santo antonio;bairro_sao bento;bairro_sao cristovao;bairro_sao francisco;bairro_sao gabriel;bairro_sao geraldo;bairro_sao joao batista;bairro_sao jorge;bairro_sao jose;bairro_sao lucas;bairro_sao luiz;bairro_sao marcos;bairro_sao paulo;bairro_sao pedro;bairro_savassi;bairro_serra;bairro_serrano;bairro_silveira;bairro_sion;bairro_solar do barreiro;bairro_solimoes;bairro_suzana;bairro_tirol;bairro_uniao;bairro_venda nova;bairro_ventosa;bairro_vila bandeirantes;bairro_vila cloris;bairro_vila paris;bairro_vitoria
490000.0;72.0;3;2.0;2;0;4.091746281321574;6.102415440097031;2.2597012132697456;6.464354019624812;4.091746281321574;2.107442402021317;2.2597012132697456;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
434000.0;91.0;3;2.0;1;0;3.5559290714854495;6.710497565218518;1.7081116665652631;5.8547164148493085;3.5559290714854495;1.5533054674092253;1.7081116665652631;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
490000.0;98.0;3;3.0;1;0;5.183900201738689;6.004621236232989;3.3482944509961596;6.911938965439624;5.183900201738689;3.1950999826668185;3.3482944509961596;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
260000.0;53.0;2;1.0;1;0;5.113515191306897;9.41542356980904;5.643212983377675;8.635358075406753;5.113515191306897;5.712622945359166;5.643212983377675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
630000.0;70.0;2;1.0;2;0;2.401829789325375;11.902279601358345;4.247815633252531;3.9619391290208834;2.401829789325375;4.402674045295257;4.247815633252531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
1060000.0;160.0;3;3.0;3;0;2.048281176403873;8.339207805121127;2.170758845109175;5.7388792198189105;2.048281176403873;2.2507911541597414;2.170758845109175;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
290000.0;69.0;2;1.0;1;0;5.113515191306897;9.41542356980904;5.643212983377675;8.635358075406753;5.113515191306897;5.712622945359166;5.643212983377675;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
420000.0;90.0;3;2.0;1;0;5.702645557432939;8.877813562508893;5.994811453670461;9.309759120908822;5.702645557432939;6.04440375498901;5.994811453670461;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
390000.0;58.0;3;2.0;1;0;6.750859525096343;4.924524820416776;4.903087792799819;8.483786393154256;6.750859525096343;4.748219419113114;4.903087792799819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
1441313.0;100.0;3;2.0;2;0;1.9266362269285071;11.394846727928067;3.763507147687629;3.9483407652398137;1.9266362269285071;3.9180037271717167;3.763507147687629;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
