preco;tamanho (m²);qtd_quartos;qtd_banheiros;qtd_vagas_garagem;bairro;endereco;bairro_tratada;bairro_mais_barato;bairro_norm;endereco_norm;latitude;longitude;CEP_opencage
450000.0;85.0;3;2.0;1;Jardim América;Rua Conselheiro Joaquim Caetano;Jardim América;0;jardim america;rua conselheiro joaquim caetano;-19.9504321;-43.9716186;30460-090
355000.0;90.0;3;2.0;1;Alto Barroca;Rua Santa Cruz;Alto Barroca;0;alto barroca;rua santa cruz;-19.9342246;-43.9667749;30431-020
1100000.0;74.0;3;3.0;3;Santo Antônio;Rua Mangabeira;Santo Antônio;0;santo antonio;rua mangabeira;-19.9458676;-43.9465231;30350-180
1250000.0;115.0;3;2.0;3;Luxemburgo;Rua Fábio Couri;Luxemburgo;0;luxemburgo;rua fabio couri;-19.9481029;-43.9567503;30380-350
490000.0;45.0;2;1.0;0;Nova Suíssa;Rua Bogari;Nova Suíssa;0;nova suissa;rua bogari;-19.9310855;-43.9724711;30421-238
460000.0;70.0;2;2.0;1;Colégio Batista;Rua Pouso Alegre;Colégio Batista;0;colegio batista;rua pouso alegre;-19.9115353;-43.9378451;31110-015
1790000.0;140.0;4;4.0;2;Anchieta;Rua Engenheiro Amaro Lanari;Anchieta;0;anchieta;rua engenheiro amaro lanari;-19.9510092;-43.9295127;30310-530
280000.0;63.0;2;2.0;1;Jardim América;Rua Lindolfo de Azevedo;Jardim América;0;jardim america;rua lindolfo de azevedo;-19.9434681;-43.9740084;30421-351
1090000.0;74.0;3;2.0;2;Anchieta;Rua Dom Vital;Anchieta;0;anchieta;rua dom vital;-19.9467782;-43.9272771;30310-520
790000.0;104.0;3;3.0;2;Jaraguá;Rua Bacupã;Jaraguá;0;jaragua;rua bacupa;-19.857266;-43.9526586;31270-860
1284509.0;72.0;2;2.0;2;Sion;Rua Chicago;Sion;0;sion;rua chicago;-19.9532566;-43.9332269;30315-550
449000.0;60.0;2;2.0;1;Penha;Rua Cornélia;Outros;0;penha;rua cornelia;-19.8736878;-43.9123788;31080-020
420000.0;65.0;2;1.0;1;Graça;Rua Jataí;Graça;0;graca;rua jatai;-19.8960201;-43.9298425;31140-270
